epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1316,1.0263,2.61733,1.19521,0.93065,0.83669,0.86664,0.63346,0.99551,1.66402,1.15234,0.000413194,0.000413194,0.000413194
2,110.943,0.95358,1.31101,1.15517,0.9117,0.94597,0.94162,0.71127,0.84199,0.84375,1.05092,0.000556007,0.000556007,0.000556007
3,138.582,0.86028,1.0617,1.10895,0.95282,0.94873,0.94146,0.74772,0.71314,0.74547,0.97168,0.000423819,0.000423819,0.000423819
